Gene	CTRL_1	CTRL_2	CTRL_3	FTY_1	FTY_2	FTY_3
RPL9P9	2796.611004	2998.473912	3008.393349	3234.895051	3362.688413	3645.882517
UBR3	1014.899154	1067.188478	935.0411761	884.2457477	893.4339507	748.0461357
MT-ND3	4143.658972	5283.253553	4845.310625	5962.493737	6230.922941	5792.303186
CRABP2	979.0188814	1156.280515	1150.07925	1624.052947	1334.623494	1184.967978
P4HA1	1149.193891	1317.220968	1228.177655	953.8228534	1062.271863	1119.822819
NUPR1	2716.649252	2341.300396	2462.774356	2757.543263	3249.124817	3388.671459
SMIM3	582.2855755	515.3926404	458.9618587	633.2397337	735.650902	664.9298984
AHNAK	46137.93065	40576.15367	38771.04373	34955.00944	37340.3132	37543.82903
VAT1	10802.01252	9440.881916	9345.062555	10534.32608	11351.33462	11721.63584
HBEGF	251.161912	210.7553548	213.9682325	265.9783026	282.4015075	360.5447591
CORO2A	61.50903967	60.35266979	56.70158162	36.10963711	47.23441584	4.492769584
PDSS1	69.71024496	74.72235307	86.65713417	134.750597	112.558608	107.82647
NAA38	618.1658486	729.9799107	714.6538966	834.9252678	815.0449201	876.0900689
TSHZ2	102.5150661	82.38618415	101.6349104	45.79758853	72.35910512	56.1596198
EYA2	24.60361587	23.94947214	28.88571139	87.19156278	41.20449041	43.80450344
GRB14	12.30180793	13.4117044	16.04761744	16.73373427	39.19451527	47.17408063
RPSA	15826.27591	17724.52534	17663.07759	19896.41005	19188.22769	17855.38952
RPS18	11506.29102	13913.68533	14396.85252	15053.31506	15271.79113	15561.83065
PFDN5	2656.165363	2832.743564	2974.158432	3059.631203	3518.461486	3306.678414
ST3GAL4	615.0903967	709.8623541	721.0729436	915.9517706	762.7855664	822.1768339
TCTEX1D4	16.40241058	7.663831084	13.90793511	2.642168569	2.009975142	3.369577188
PSMG2	467.4687015	570.9554157	516.7332815	624.4325051	586.9127415	691.8865159
CCNB1IP1	340.3500195	331.4606944	320.9523488	424.5084167	378.8803143	433.5522649
DUSP2	117.892326	190.6377982	239.6444204	125.0626456	105.523695	113.442432
SIPA1L2	168.1247084	122.6212973	128.3809395	88.07228563	104.5187074	99.96412325
AC026403.1	98.41446347	137.9489595	97.35554579	167.3373427	146.7281854	168.4788594
DCLK2	383.4063473	422.4686885	393.7015478	324.1060111	325.615973	278.5517142
DCHS1	688.9012443	643.761811	600.1808922	952.0614077	732.6359393	851.3798362
TCIM	15.37725992	9.579788855	9.628570463	51.96264852	17.08478871	29.2030023
ELFN2	37.93057446	44.06702873	46.00316999	216.6578227	68.33915483	103.3337004
DUSP3	1195.325671	1271.237981	1193.942737	1356.313199	1475.321754	1375.910685
CEBPD	744.25938	587.2410568	736.0507199	420.1048025	596.9626172	484.0959227
RAD52	157.8732018	162.8564105	161.5460155	123.3011999	121.6034961	105.5800852
EPB41	58.43358768	68.01650087	56.70158162	33.46746854	51.25436612	8.985539168
IRF9	30.75451983	22.03351437	27.81587023	14.97228856	11.05486328	3.369577188
ERC1	1786.837602	1619.942295	1609.041109	1474.330061	1502.456419	1448.918191
LGALS8	515.6507825	528.8043448	493.1967759	435.9578139	441.1895437	378.5158375
FAU	2829.415825	3516.740489	3533.68536	3756.282982	3912.416614	3939.035733
ATP8B1	1979.565927	1729.151888	1631.507773	1169.599953	1453.212028	1570.22297
PCCB	510.5250292	590.1149935	537.0602636	487.0397395	472.3441584	343.6968732
HSPA6	10.25150661	6.705852198	6.419046975	15.85301141	20.09975142	26.9566175
FKBP1A	9070.533049	9316.344661	9102.208611	9754.005634	11153.35206	10541.16064
MOXD1	4177.488944	3328.018648	3321.85681	3777.420331	5169.656066	4830.850495
SNTB1	343.4254715	261.5282357	303.8348902	255.4096283	224.1122283	215.65294
ARSD	275.7655278	266.3181302	282.4380669	214.8963769	230.1421538	197.6818617
NCS1	2367.072877	2581.753096	2500.218797	2898.45892	2679.296864	2755.190947
MIR22HG	735.033024	783.6267283	798.1015073	619.148168	685.4015235	644.7124353
HSPB7	2276.859618	2169.822176	2228.479142	2424.630023	2871.249491	2931.532154
PDPR	683.775491	609.2745712	627.9967624	546.0481709	579.8778285	473.9871911
ADAT1	460.2926468	478.9894427	430.0761474	385.7566111	385.9152273	299.8923697
HAUS3	182.4768177	192.553756	205.4095032	268.6204712	231.1471413	341.4504884
LHFPL6	1186.099315	1104.549655	1173.615755	1226.846939	1362.763146	1379.280262
HSPA1B	461.3177975	431.0904985	365.8856776	503.7734738	501.488798	542.5019273
GNG11	1679.196783	1792.378495	1856.174417	2073.221604	2137.608564	2232.906483
COL12A1	16154.32412	14272.92741	13435.06532	11897.68507	13131.1676	12815.62524
DKK3	10780.48435	10138.29055	9822.211714	10909.51402	11805.589	12026.02098
EHD3	802.6929676	895.7102579	905.0856235	727.4770793	704.4962873	752.5389053
PGBD5	12.30180793	7.663831084	4.27936465	24.66023998	11.05486328	43.80450344
CDNF	14.35210926	15.32766217	16.04761744	4.403614282	8.039900569	0
PIGC	236.8098027	279.7298346	267.4602906	309.1337226	308.5311843	404.3492626
TSFM	298.3188424	333.3766521	313.4634606	371.6650454	386.9202149	450.4001508
SLC19A2	68.68509429	79.51224749	69.53967557	88.07228563	98.48878196	186.4499377
EMC3	1003.622497	1106.465613	1151.149091	890.4108077	950.7182422	870.4741069
TMOD3	1701.750097	1935.117349	1848.685529	1652.236078	1548.685847	1591.563625
MIOS	399.8087578	432.0484774	408.6793241	310.0144454	341.6957742	356.0519895
ZDBF2	214.2564882	203.0915237	198.9904562	180.5481855	148.7381605	129.1671255
COPB2	3766.403529	3862.570866	3945.574208	3566.046845	3576.750765	3503.237083
CHAC1	911.3589377	600.6527612	757.4475431	925.639722	980.8678694	1051.308083
COL27A1	340.3500195	339.1245255	310.2539371	291.5192654	279.3865448	190.9427073
HNRNPAB	2729.976211	3110.557441	2992.345732	3713.127562	3292.339283	3317.910338
ELOVL4	289.0924864	261.5282357	319.8825076	234.2722798	224.1122283	192.0658997
TBL1X	1026.175812	944.5671811	988.5332342	1184.572242	1070.311763	1226.526096
GOLGA8B	446.9656882	308.4692011	390.4920243	269.501194	291.4463956	239.2399804
KCNG1	532.0531931	403.3091108	433.2856708	531.9566052	616.0573811	624.4949722
SEC23B	989.270388	1054.734753	1093.377668	955.5842991	925.593553	840.1479122
STARD13	457.2171949	425.3426252	415.0983711	347.8855282	381.895277	313.3706785
EPHB1	98.41446347	103.4617196	130.5206218	180.5481855	148.7381605	174.0948214
AC026412.1	120.967778	130.2851284	140.1491923	88.95300849	79.39401811	96.59454606
COX6C	1237.356848	1471.455568	1416.469699	1724.455353	1546.675872	1554.498276
AC012306.2	87.13780619	72.8063953	100.5650693	49.32047995	68.33915483	39.31173386
FTH1P2	103.5402168	74.72235307	98.42538696	161.1722827	155.7730735	138.1526647
AL139393.2	174.2756124	174.3521572	182.9428388	132.1084284	156.7780611	85.3626221
FOXF1	20.50301322	32.57128211	41.72380534	110.090357	47.23441584	59.52919699
NETO2	193.7534749	238.5367425	216.1079148	310.0144454	256.2718306	317.8634481
AC118344.2	24.60361587	24.90745102	33.16507604	15.85301141	12.05985085	6.739154376
SLC36A1	476.6950574	477.073485	419.3777357	364.6192625	413.0498917	307.7547165
PRNP	6901.314251	5953.838773	5668.018479	6604.5407	7987.641215	7810.679922
SMAD7	1162.52085	1281.775749	1280.599872	1499.871024	1345.678358	1583.701278
SDC1	1643.31651	2079.77216	1877.57124	2503.014358	2057.209558	2144.174284
STK36	409.0351138	380.3176175	366.9555188	309.1337226	343.7057493	283.0444838
LAPTM5	54.33298504	45.02500762	39.58412302	23.77951712	22.10972656	20.21746313
TRANK1	258.3379666	214.5872703	207.5491855	132.1084284	205.0174645	152.7541659
ORC3	431.5884283	413.8468785	433.2856708	483.5168481	486.4139844	664.9298984
ENOPH1	525.9022891	593.946909	586.2729571	704.5782851	600.9825675	740.183789
PLAU	139.4204899	121.6633185	105.9142751	155.0072227	185.9227006	184.2035529
TNFRSF11B	2040.049816	1424.514603	1544.850639	1051.58309	1326.583594	1403.990495
SMG9	892.9062258	877.5086591	865.5015005	972.3180334	1019.057397	1089.496624
COPS7A	2051.326473	2120.965252	2068.002967	2251.127621	2354.685879	2330.624222
TXNDC17	499.248372	701.2405442	714.6538966	814.6686421	896.4489134	719.9663258
NKTR	1285.538929	1131.373064	1091.237986	1032.207188	1032.122235	877.2132613
GRK6	557.6819596	664.8373465	604.4602569	785.6047878	677.3616229	856.9957982
WNT7B	59.45873834	62.26862756	57.77142278	186.7132455	69.3441424	90.97858408
ITGA8	54.33298504	45.9829865	33.16507604	70.45782851	59.29426669	108.9496624
RPL7P1	1286.56408	1476.245463	1494.568104	1643.42885	1741.643461	1607.288319
GUCY1A2	77.91145024	48.85692316	37.44444069	21.13734855	44.21945313	14.60150115
INA	29.72936917	34.48723988	35.30475837	67.81565994	56.27930398	44.92769584
RNF144A	23.57846521	33.52926099	32.09523488	111.8518028	55.27431641	30.32619469
TALDO1	2261.482358	2241.670592	2397.514045	2784.845672	2522.518803	2437.327499
NDNF	484.8962627	547.9639225	448.2634471	1090.334896	621.0823189	768.2635989
PRPS1	1891.40297	2526.190321	2355.79024	2047.680641	1778.828001	1602.795549
ARPC1A	635.5934099	788.4166228	813.0792836	861.3469535	859.2643733	937.8656507
AL109918.1	205.0301322	229.9149325	246.0634674	189.3554141	171.8528747	142.6454343
EIF4G2	19207.22279	19177.77931	19067.77904	21088.02807	20329.89358	21563.04762
AKAP1	295.2433904	260.5702569	266.3904495	339.9590225	319.5860476	422.3203409
AC009404.1	34.85512248	64.18458533	39.58412302	29.06385426	27.13466442	15.72469354
RPL13	17944.23717	19499.66021	20651.14396	21745.92805	22524.78643	21050.87189
ATP10D	796.5420637	841.1054615	712.5142143	579.5156395	687.4114986	691.8865159
BTG1	1369.601283	1155.322536	1220.688767	1319.322839	1472.306792	1569.099777
PBX3	485.9214134	515.3926404	478.2189997	636.7626251	589.9277042	664.9298984
STKLD1	15.37725992	16.28564105	16.04761744	6.165059994	4.019950284	2.246384792
ARHGAP22	1934.459298	1661.135387	1803.7522	2022.139678	2337.60109	2264.35587
ARFGAP1	2411.154355	2528.106279	2582.596566	2207.091478	2250.167172	2200.333904
GALK1	432.613579	551.795838	521.0126462	417.4626339	455.2593697	263.9502131
ACBD4	92.2635595	116.873424	96.28570463	70.45782851	68.33915483	66.26835137
TTLL3	330.0985129	230.8729114	272.8094965	196.401197	199.9925266	247.1023271
MMD	116.8671754	137.9489595	135.8698276	213.1349312	172.8578622	152.7541659
PTPRA	1231.205944	1170.650198	1175.755438	1306.111996	1290.404041	1498.338656
EPS8	2467.537641	2393.031256	2371.837857	1992.195101	2231.072408	2240.76883
TBX5	376.2302926	402.3511319	372.3047246	581.2770852	490.4339347	411.0884169
WIPI2	2200.998469	2055.822688	2034.837891	2229.990272	2516.488878	2405.878112
C19orf25	508.4747279	513.4766826	499.6158229	608.5794937	580.8828161	648.0820125
JRK	665.3227791	782.6687494	769.2157959	613.8638309	593.9476545	567.21216
SEMA3B	246.0361587	221.2931225	257.8317202	171.740957	191.9526261	180.8339758
FZD7	1848.346642	1625.690169	1671.091896	2074.98305	1924.551199	2077.905933
PRLR	41.00602644	41.19309208	41.72380534	66.05421422	54.26932884	79.74666012
TXN	3516.266768	4107.813461	4239.780527	4335.798622	4588.773249	4481.53766
CSMD2	280.8912811	268.2340879	270.6698141	482.6361253	321.5960227	331.3417568
BCL3	344.4506221	272.0660035	288.8571139	264.2168569	240.1920295	162.8628974
RNF157	15.37725992	13.4117044	16.04761744	41.39397425	34.16957742	26.9566175
LINC00856	157.8732018	161.8984316	128.3809395	198.1626427	215.0673402	198.8050541
AKR1B1	2001.09409	2097.01578	2254.15533	2483.638455	2287.351712	2436.204307
OSBPL7	136.3450379	144.6548117	149.7777628	104.8060199	117.5835458	61.77558178
PTPRQ	19.47786256	20.1175566	14.97777628	3.522891425	6.029925426	7.862346772
CATSPER2P1	19.47786256	17.24361994	12.83809395	7.045782851	6.029925426	1.123192396
FSTL1	33466.04333	34092.55258	31761.44443	27297.12421	30593.83164	30262.17273
RBM12	941.0883069	963.7267588	905.0856235	1184.572242	981.8728569	1098.482163
FOS	42.03117711	27.78138768	25.6761879	57.24698566	52.2593537	52.79004261
PAPSS2	2880.673358	3185.279794	2944.202879	2735.525192	2753.665945	2590.081665
GALNT2	4250.274641	4347.308182	4263.317033	3691.990214	3942.566241	3891.861652
